Node,1,2,3,AVG
1,6983.827911873982,15968.990463027865,21728.877093424966,14893.89848944227
2,6983.827911873982,100062.44300994054,47272.55211757197,51439.6076797955
3,13991.255458570848,9722.354415062282,0.0,7904.5366245443765
4,27014.653829270155,5170.005208782032,4834.079786485188,12339.579608179125
370,13991.255458570848,112147.18195530567,136569.91960325264,87569.45233904304
76,20295.47715734426,14607.889740553339,17741.652751222067,17548.33988303989
105,47034.406477440454,23937.942151742776,23182.003994015344,31384.784207732853
106,33670.46527079728,7291.274323659875,31368.69423419061,24110.144609549257
5,33594.46769788909,0.0,0.0,11198.155899296364
6,26876.586475086522,2628.0487775851907,0.0,9834.878417557238
7,6991.198316145409,3659.893671828498,0.0,3550.363995991302
8,33595.200573054506,19639.470133236642,5469.635219356143,19568.101975215763
9,27611.0412764658,49961.744614328636,28534.921391229298,35369.23576067458
10,26990.944526796622,25798.773961437513,81442.22748195965,44743.98199006459
96,73988.03342261299,16894.91452806587,51429.25918024584,47437.402376974904
119,34015.11958914393,57885.20283962751,73164.66887076733,55021.66376651292
551,14027.46687321865,3623.2780441485424,6352.869605153773,8001.204840840322
169,94207.54042396172,14710.741266647543,9183.535035999479,39367.27224220291
94,47009.726510808985,12297.988013866263,0.0,19769.23817489175
377,13509.826071673962,0.0,2180.136818143561,5229.987629939174
11,6983.827911873982,905.2660339686256,1453.2216864936977,3114.1052107787687
12,6983.827911873982,1490.0139106847764,1453.2695727793428,3309.0371317793674
13,87429.27186927422,119823.58403362989,20128.995763799372,75793.95055556783
14,27060.895615966,3157.381831073196,2911.9752914252426,11043.417579488147
15,20307.70720938518,10038.55644690946,9603.852830021691,13316.705495438777
37,13648.195011896885,54141.51386247004,43230.71096703198,37006.806613799636
38,7003.839621876273,45990.032067692504,21156.688536480113,24716.853408682964
39,40319.84955529825,7691.443265209423,6607.107038766811,18206.13328642483
40,7003.839621876273,913.6479542513157,0.0,2639.162525375863
58,33600.78413276796,8822.84267826235,6162.636994089543,16195.421268373286
59,7003.839621876273,1832.5864077772076,2930.5651684910044,3922.330399381495
60,20193.865861029113,6913.4627625622625,14493.456600267706,13866.928407953028
61,7003.839621876273,13146.364104938753,12551.892282989802,10900.698669934944
62,26868.412017126426,20774.17146866238,41872.38121777323,29838.321567854015
63,7003.839621876273,9816.361155151584,19267.393086651806,12029.197954559888
355,7003.839621876273,2653.1115751337284,11409.649562149214,7022.200253053071
183,134465.4256476486,0.0,726.8148861837598,45064.080177944124
253,27080.726479794383,30985.01421508617,40693.80119280579,32919.847295895444
348,6989.330275346091,32086.80352655286,33776.98361584361,24284.372472580853
435,13618.948547562093,11595.28666351109,6680.370095799888,10631.535102291024
16,6987.432181392508,28471.21920559252,44646.18490753077,26701.61209817193
17,20453.657980456024,23372.242614702114,21077.1348133376,21634.345136165244
170,20313.9424480227,65264.18759061678,66926.86908912861,50834.99970925603
171,14018.984502239415,13261.671566254385,11352.578548783873,12877.744872425892
18,6983.827911873982,9313.249504146957,0.0,5432.359138673647
19,6983.827911873982,3977.621330112328,7001.526179820947,5987.658473935752
20,6985.544632405334,13463.988461626946,34145.28545830675,18198.27285077968
21,13636.69994401466,509891.0657524141,350726.86240200454,291418.20936614444
32,60510.6468311024,3631.227182438676,2274.2043613977557,22138.692791646277
22,13616.39033871132,10629.674193223113,13801.920751031403,12682.66176098861
23,13616.39033871132,36399.95699833182,74861.66043034366,41626.00258912893
24,6985.546741398616,12277.836152141223,25306.973706204077,14856.785533247972
528,6985.546741398616,1832.867923692475,0.0,2939.471555030364
25,6985.546741398616,672.0880199420542,4574.079850128907,4077.238203823193
26,13504.277310349655,3457.973881687408,2978.0454731539558,6646.765555063673
267,6985.546741398616,1343.905286317197,2179.342155757739,3502.931394491184
27,6985.546741398616,4639.223517782426,6977.257305011429,6200.675854730824
28,13618.948547562093,130591.08679190424,260329.66717699307,134846.56750548646
457,20312.319577692386,117931.39896088683,62373.11413880786,66872.27755912903
29,6983.827911873982,13248.861829423615,24972.423209776156,15068.370983691251
30,6983.827911873982,17312.278609172597,32901.02847168696,19065.711664244514
31,6998.091033438518,8639.495523525118,11340.512323025012,8992.699626662883
92,6998.091033438518,5756.669969906174,15275.264675731505,9343.3418930254
175,14023.122347058224,12470.62319990171,21779.975246435122,16091.24026446502
501,6998.091033438518,0.0,0.0,2332.697011146173
527,6998.091033438518,5965.67769861166,31070.690051055248,14678.152927701807
409,14006.020520536442,0.0,726.7773270229035,4910.932615853115
627,6998.091033438518,21921.9919372484,22738.593696519434,17219.558889068783
593,33633.45507494401,5101.312613683977,19070.849549895753,19268.539079507915
33,6983.827911873982,9276.625910634359,14761.47706191342,10340.643628140586
34,6983.827911873982,672.0880199420542,726.6715562161489,2794.195829344062
35,6983.827911873982,905.2660339686256,726.8148861837598,2871.969610675456
36,6983.827911873982,1490.0139106847764,726.8148861837598,3066.8855695808397
69,6985.545159653655,1341.869931334388,2197.0331125218167,3508.149401169953
75,33622.25368437627,26376.408095376082,42512.11976107338,34170.26051360858
135,6993.015741105965,19894.457537749444,28982.39195899171,18623.288412615704
136,20281.504022355963,1905.5037754338834,726.8148861837598,7637.940894657869
137,20281.504022355963,34255.14249228075,26413.283196341872,26983.309903659527
41,6983.827911873982,2761.139112844013,4471.3779754389925,4738.781666718995
42,6983.827911873982,17121.406962819343,20915.585429596136,15006.94010142982
43,6983.827911873982,0.0,726.8148861837598,2570.214266019247
44,6983.827911873982,0.0,726.8148861837598,2570.214266019247
45,13985.339732415514,25649.307823354433,43259.77314063441,27631.473565468117
46,13985.339732415514,4048.211742465775,9935.394975798545,9322.982150226611
47,13985.339732415514,3725.018251846355,8152.145876200844,8620.834620154237
48,13974.386675806698,6627.427847385929,16181.492898205488,12261.102473799372
49,7013.71656466307,1328.0378561526893,0.0,2780.5848069385866
50,188466.1901911136,8560.317138526558,2181.3918598057976,66402.63306314865
81,7013.71656466307,2667.3748221928745,3154.783360567353,4278.624915807765
138,13681.444345480457,7315.553207007877,22324.792384016848,14440.596645501728
219,7013.71656466307,7306.6621513793325,0.0,4773.459572014134
227,7013.71656466307,1445.199322644184,2181.5511080167134,3546.822331774656
309,7013.71656466307,22961.98460714048,33380.55042234419,21118.75053138258
389,7013.71656466307,81334.52200353998,19427.42694838604,35925.221838863035
120,27632.215569014657,5305.381144808668,15455.070837430896,16130.889183751407
432,7013.71656466307,14590.043309434815,38896.45602831637,20166.738634138084
448,7013.71656466307,2684.2000166181742,4301.628854615184,4666.515145298809
449,20535.78376059268,51796.26544829422,727.4496425800169,24353.16628382231
485,13681.444345480457,1810.4066484445973,726.8148861837598,5406.221960036271
518,7013.71656466307,905.1626476300867,0.0,2639.626404097719
553,7013.71656466307,4643.045507335248,9235.554375118589,6964.1054823723025
608,7013.71656466307,905.1685796331176,1453.1848508893554,3124.023331728514
629,7013.71656466307,0.0,0.0,2337.9055215543567
630,13465.466561482086,0.0,727.2502040936488,4730.905588525245
635,14027.919252277587,1343.8686773842062,727.47319105565,5366.4203735724805
642,7013.71656466307,1812.476070073384,9004.26437189822,5943.485668878224
645,20541.66943359375,7678.566412001503,5569.599156197581,11263.278333930944
483,33709.02294047104,8005.5255381449515,14124.63932245523,18613.062600357076
653,7013.71656466307,2293.101700903206,11163.110144954017,6823.309470173431
654,7013.71656466307,17230.02015871458,26874.272365120076,17039.336362832575
51,13624.720862174268,9988.743553115013,21720.522054803598,15111.32882336429
52,33589.82000394442,15601.470418731496,25281.089984811337,24824.12680249575
53,6985.546741398616,1991.9214074455786,1457.2896527703947,3478.2526005381965
68,6991.199897890371,3348.410633135318,5281.520721319466,5207.043750781719
321,6991.199897890371,24872.25550969581,0.0,10621.151802528728
427,20279.025428001576,5965.025983335813,14564.652916785717,13602.901442707704
500,6991.199897890371,3319.094038584758,4447.170274043829,4919.154736839652
54,6983.827911873982,6020.47364443788,14967.98897098317,9324.096842431676
55,6983.827911873982,3319.2183987911562,3524.175405363302,4609.073905342814
56,6985.546741398616,2658.1081860295726,3526.8417111169065,4390.165546181699
57,13624.720862174268,1994.2660316435497,7463.2308802135,7694.072591343774
249,60522.680746768114,140440.63699555642,68284.34142391842,89749.21972208098
71,33721.26564647165,2420.1326645517447,16229.459893290814,17456.952734771403
239,6989.331857091052,1816.7359261927882,2249.129378853923,3685.065720712588
64,6983.827911873982,0.0,2291.9632009184074,3091.9303709307965
65,6983.827911873982,8112.719036229089,6487.022639721321,7194.523195941464
66,6983.827911873982,0.0,2181.194526211106,3055.0074793616964
67,6983.827911873982,905.2566275066765,7588.251579130194,5159.112039503617
