layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR,weight,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight
13,7,1.0,1.0,1.0,13.0,6.082762530298219,2.166666666666667,-2.5,2.82842712474619,11.0,2.0,1.0,0.0,1.014,1.0,0.0209900990099009,2.0990099,106.0,5.4536318,101.0,1.2448158
40,97,1.0,1.0,1.0,5.0,2.23606797749979,2.0,0.5,2.7071067811865475,4.5,2.0,1.0,0.0,1.019,1.0,0.0735294117647058,1.1764706,10.0,1.8843767,17.0,0.8318903
40,65,1.0,1.0,1.0,5.0,2.23606797749979,2.5,-0.5,1.0,5.0,2.0,1.0,0.0,1.014,1.0,0.0735294117647058,1.1764706,10.0,1.8843767,17.0,0.8318903
36,98,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.02,1.0,0.0343300110741971,1.4418605,31.0,2.9553057,43.0,0.9208832
40,98,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.011,1.0,0.0735294117647058,1.1764706,10.0,1.8843767,17.0,0.8318903
13,198,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.01,1.0,0.0209900990099009,2.0990099,106.0,5.4536318,101.0,1.2448158
34,198,1.0,1.0,1.0,17.0,8.06225774829855,5.0,-18.0,-59.95962619783734,25.5,2.0,1.0,0.0,1.017,1.0,0.040218878248974,3.4186047,147.0,9.3422584,86.0,2.9283233
39,198,1.0,1.0,1.0,7.0,3.1622776601683795,2.0,0.0,3.414213562373095,6.0,2.0,1.0,0.0,1.012,1.0,0.0234177215189873,1.85,74.0,5.3813149,80.0,1.2583893
43,64,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.01,1.0,0.0760233918128654,1.3684211,13.0,3.1695557,19.0,0.8559714
8,2,1.0,1.0,1.0,9.0,4.123105625617661,2.0,-0.5,4.121320343559643,7.5,2.0,1.0,0.0,1.018,1.0,0.1666666666666666,1.3333333,6.0,3.2201416,9.0,0.7856742
