layer_id,node_id,degree,k_shell,k_shell_itr,nip,sombor_index,ego_density,ego_degree,ego_k_shell,ego_degree_mean,kss,vote_power,clustering,SIR,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight
2,2451,2.0,2.0,1.0,7052.107013781239,3541.009262075963,15.338646616541354,-23613.60956031097,-198172.75861169252,27274.0,5.656854249492381,1.0,0.0,2.174,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
2,1521,23.0,21.0,1.0,14688.803110863557,11058.138889157704,26.546453844145443,10832.549978279756,15958.551845551994,34175.539295392955,131.96327732954134,1.797396848728689,0.458498023715415,6.398,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,1521,75.0,32.0,1.0,15830.52524077491,12491.204327020308,1416.1013111014904,56423.30127018922,8303.638764399333,40121.44289185905,305.18144432255366,50.54318761562271,0.1863063063063063,7.783,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,2237,2.0,2.0,1.0,9480.298999655322,4759.001984491145,15.669166166766647,-24831.488239967483,-199848.05404774536,28503.0,5.656854249492381,1.0,0.0,2.163,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
1,570,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.011,0.0027978656022018,1.852187,614.0,7.1881633,663.0,0.8968973
2,570,6.0,5.0,1.0,5748.1609017814935,4077.473670989518,20.82262816735416,-18111.22015776368,-192969.2357336776,28542.571428571428,15.9719141249985,1.3333333333333333,0.4,2.798,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,570,18.0,13.0,3.0,2387.842591908515,1620.3870716115257,108.59756985066365,-15735.466991411002,-171888.11866138267,25260.27094972067,240.38351352730305,2.2827851645761745,0.1699346405228758,2.137,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,4514,1.0,1.0,1.0,6599.627099125559,3310.0001510573984,15.292447129909366,-25127.0,-202368.6242134074,26965.5,2.0,1.0,0.0,1.409,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,4514,6.0,6.0,1.0,532.2827808727009,298.7630255459844,67.59040590405904,-8462.825765385825,-99452.75689070778,9315.5,29.39387691339813,1.0,0.0,1.242,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,2418,30.0,25.0,1.0,16256.056552921413,12328.720251745182,52.29939734315615,24206.77225575051,92089.9242076628,34899.42857142857,172.61904761904762,3.5446440706071582,0.4482758620689655,6.759,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,2418,67.0,36.0,5.0,14240.946134731492,11554.269778401256,679.3005263226196,36003.09267638593,1639413.1977031138,38476.623529411765,1702.5882352941178,21.88698969622461,0.2686567164179104,8.926,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
1,12,1.0,1.0,1.0,3.0,1.4142135623730951,2.0,2.0,5.414213562373095,3.0,2.0,1.0,0.0,1.014,0.0027978656022018,1.852187,614.0,7.1881633,663.0,0.8968973
2,12,2.0,1.0,2.0,6602.627099125559,3312.236672207052,30.576260948353973,-23324.437987435696,-199277.18265463604,26968.0,4.0,2.0,0.0,2.09,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,12,2.0,2.0,1.0,12.0,6.433978400210179,27.800000000000004,-60.58578643762691,-460.1453516073847,75.0,5.656854249492381,1.0,0.0,1.028,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,1831,10.0,6.0,2.0,521.5036422679439,346.61721657320584,211.65406976744185,-8716.932028189409,-67599.30637555264,10097.565217391304,57.50975917838766,2.75,0.0222222222222222,1.447,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,1831,11.0,7.0,2.0,731.4964887494203,460.6902480265777,147.98019682320444,-10955.050125628935,-173175.72271776354,13049.107142857143,72.75816105427626,2.089186507936508,0.0181818181818181,1.424,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
3,5736,5.0,4.0,1.0,303.52742123757184,179.54772310103218,60.57142857142857,-2092.555728090001,-12581.791487843668,2530.590909090909,14.545454545454543,2.0,0.1,1.139,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
1,130,1.0,1.0,1.0,5.0,2.23606797749979,2.0,0.5,2.7071067811865475,4.5,2.0,1.0,0.0,1.018,0.0027978656022018,1.852187,614.0,7.1881633,663.0,0.8968973
2,130,2.0,2.0,1.0,48.02564102564103,27.55892871622997,241.8076923076923,-3123.87867965644,-9356.813055557011,3160.0,5.656854249492381,1.0,0.0,1.031,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,130,5.0,3.0,3.0,35.03189792663477,34.47985620824613,24.62962962962963,-45.64589803375031,-20.1793868196481,112.33333333333331,25.98076211353316,1.9444444444444444,0.2,1.072,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,3467,2.0,2.0,1.0,3304.884978134208,3315.3857690366867,15.725460585925704,-24050.437987435696,-202676.0828914666,27692.0,2.8284271247461903,1.0,1.0,2.028,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,3467,5.0,3.0,2.0,266.53562143201043,156.81802850476458,217.63194444444449,-6406.763932022501,-79860.98185220172,6796.5,20.784609690826528,2.333333333333333,0.0,1.213,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
2,2261,2.0,2.0,1.0,47.91193036354327,27.379861131522297,264.5,-3157.0857864376267,-6584.747866726303,3190.5,5.656854249492381,1.0,0.0,1.078,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
2,4973,2.0,2.0,1.0,7052.107013781239,3541.009262075963,15.338646616541354,-23613.60956031097,-198172.7586116926,27274.0,5.656854249492381,1.0,0.0,2.332,0.0020804886648856,11.5238267,31921.0,600.0635124,5540.0,9.9902105
3,4973,3.0,3.0,1.0,234.34987858907027,164.8549635095382,53.48717948717949,-4006.669872981077,-43837.770875315626,4257.0,7.794228634059948,1.0,0.3333333333333333,1.079,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
3,5747,2.0,2.0,1.0,886.2614972501373,467.02267854743263,49.34792122538293,-11039.721825406948,-125943.687301154,11512.5,5.656854249492381,1.0,0.0,1.209,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
3,5826,11.0,7.0,6.0,505.7221942290271,387.1454294887281,138.10219916005647,-5656.733500838578,-63709.01251009945,7106.536231884058,177.15030517562917,2.4449048915538576,0.2545454545454545,1.353,0.0026041693904304,14.8463697,42327.0,150.1668313,5702.0,13.3641578
