id,layer_density,layer_degree_histogram,layer_edge_weight,layer_sombor_index,layer_nodes_weight,layer_k_shell_weight,k_shell_info
1,0.025523809523809525,3.1904762,0.00201,2.1697278,0.0126,2.7658829,"[[0], [60, 4], [26, 3, 1], [14, 3, 3, 3, 2, 1, 3, 3]]"
2,0.02389937106918239,2.509434,0.00133,1.0357792,0.0106,3.103387,"[[0], [51, 2], [22, 10, 3, 2, 2, 2, 3, 3, 4, 2]]"
3,0.0215311004784689,2.8421053,0.00189,0.9750411,0.0133,1.923866,"[[0], [54, 5, 2], [25, 11, 7], [13, 13, 3]]"
4,0.022333306458114974,3.5063291,0.00277,1.3643348,0.0158,2.4697443,"[[0], [59, 6, 1], [33, 13, 2, 1], [12, 6, 4, 3, 1], [6, 3, 3, 5]]"
5,0.016415794066317626,3.1354167,0.00301,1.1337893,0.0192,2.6306039,"[[0], [71, 7, 4], [45, 9, 2, 1], [16, 16, 8, 5, 4, 4]]"
6,0.014356232003290826,3.158371,0.00349,1.1601448,0.0221,2.7254037,"[[0], [91, 9, 2], [39, 14, 6, 4, 1], [19, 9, 9, 7, 6, 5]]"
7,0.015525587828492393,3.7261411,0.00449,1.9221762,0.0241,2.7256703,"[[0], [84, 10, 2], [45, 8, 2], [33, 11, 3, 1], [11, 11, 12, 7, 1]]"
8,0.01516267648864334,2.7292818,0.00247,1.1154999,0.0181,2.0190713,"[[0], [85, 11, 2], [34, 11, 5, 2, 1, 1, 1, 1, 2, 1, 1, 1], [13, 6, 3]]"
9,0.015197568389057751,2.8571429,0.0027,0.9794318,0.0189,1.9085992,"[[0], [81, 8, 3, 1, 1], [32, 15, 7, 3], [19, 11, 8]]"
10,0.012699960530287201,3.7210884,0.00547,1.3966096,0.0294,3.0797497,"[[0], [105, 10, 1], [58, 13, 3], [31, 9, 6, 4, 2, 2], [13, 11, 9, 11, 6]]"
11,0.010697895236588068,3.7977528,0.00676,1.5293023,0.0356,3.315969,"[[0], [134, 9, 2, 1], [60, 6, 3], [42, 9, 6, 8, 3, 2, 1, 1, 1, 1], [21, 17, 9, 12, 8]]"
12,0.010123456790123457,3.28,0.00533,1.349191,0.0325,2.248129,"[[0], [127, 12, 1], [67, 20, 6, 2, 1], [30, 14, 6, 4, 3, 4, 2], [13, 10, 3]]"
13,0.010651791634235637,3.9624665,0.00739,1.3207302,0.0373,3.6076217,"[[0], [119, 10], [64, 12, 4, 2, 2, 2], [52, 21, 10, 4, 2, 3, 3, 1, 2, 2, 1], [15, 13, 11, 11, 7]]"
14,0.008898395721925134,3.328,0.00624,1.5041054,0.0375,1.9298321,"[[0], [152, 15, 1, 1], [78, 18, 5, 2, 1], [36, 17, 9, 2, 1], [20, 14, 3]]"
15,0.007014224995700562,2.8267327,0.00571,5.8583874,0.0404,1.9717039,"[[0], [226, 12, 2], [73, 12, 4], [33, 12, 9, 6, 5, 5, 5]]"
16,0.009286833855799374,2.9625,0.00474,1.3289813,0.032,2.0913665,"[[0], [140, 11, 2], [80, 20, 6, 4, 3, 1], [18, 11, 12, 6, 6]]"
17,0.011610878661087867,2.775,0.00333,1.0276057,0.024,2.0908307,"[[0], [104, 16, 3, 3], [40, 12, 8, 5, 5, 2], [16, 13, 10, 3]]"
18,0.00885478158205431,3.2142857,0.00585,1.1780562,0.0364,3.432461,"[[0], [157, 14, 2], [63, 14, 4, 2, 1], [41, 21, 11, 6, 4, 4, 4, 1, 2, 3, 7, 3]]"
19,0.007371110273484944,2.7862797,0.00528,1.0772098,0.0379,2.3318491,"[[0], [164, 23, 2], [78, 26, 17, 10, 6, 6, 6, 2, 3, 2, 1, 1, 1, 1], [12, 10, 6, 2]]"
20,0.008833271991166729,1.8373206,0.00192,0.6378398,0.0209,1.0417378,"[[0], [127, 28, 12, 3, 2, 1], [26, 10]]"
21,0.008147965253305202,2.4280936,0.00363,0.9303223,0.0299,2.3331374,"[[0], [149, 27, 7], [53, 19, 6, 6, 8, 7, 7, 6, 4]]"
22,0.008576789064593943,2.4529617,0.00352,2.0646945,0.0287,1.398474,"[[0], [159, 25, 9], [42, 8, 4, 3, 3, 1], [19, 9, 4, 1]]"
23,0.008022652194431336,2.607362,0.00425,1.1130139,0.0326,1.7139418,"[[0], [159, 24, 6, 2, 1], [50, 15, 6, 6, 4, 3, 1, 1], [28, 14, 6]]"
24,0.007633005114113426,3.02267,0.006,1.5000074,0.0397,2.165712,"[[0], [156, 22, 6, 1], [72, 38, 11, 4, 2, 2], [33, 24, 17, 8, 1]]"
25,0.007393054925725907,2.8167539,0.00538,1.3451983,0.0382,1.8737911,"[[0], [166, 20, 6], [75, 28, 13, 6, 1, 1, 1], [29, 21, 14, 1]]"
26,0.007057356608478803,2.8229426,0.00566,1.1273484,0.0401,1.9281442,"[[0], [166, 33, 6], [69, 26, 12, 6, 4, 1, 1], [40, 23, 9, 5]]"
27,0.007080147267063155,3.030303,0.0065,1.0941794,0.0429,2.288812,"[[0], [172, 35, 9, 2], [72, 25, 9, 2, 3], [39, 20, 20, 14, 6, 1]]"
28,0.006941425383300003,2.5752688,0.00479,1.0017026,0.0372,1.605316,"[[0], [192, 28, 3, 1, 1], [63, 14, 5, 4, 1, 2], [28, 17, 11, 2]]"
